date,open,high,low,close,volume,volume
2019-03-13,2731.5007,2747.9566,2699.9803,2723.9618,54064571.0,74117602.733
2019-03-14,2720.1882,2752.6613,2716.2685,2729.1324,43471813.0,62567909.556
2019-03-15,2735.9993,2783.5066,2735.8626,2755.8053,44123096.0,67258458.922
2019-03-18,2763.2251,2827.2603,2749.1986,2825.1837,61605235.0,87655202.122
2019-03-19,2830.2422,2842.4453,2797.717,2806.8964,43459056.0,62362679.352
2019-03-20,2799.325,2831.6252,2787.2834,2812.9179,40322247.0,58429045.852
2019-03-21,2816.4519,2822.6336,2799.8337,2802.9647,43631385.0,63731399.243
2019-03-22,2804.7176,2813.5151,2771.9562,2795.3909,35988070.0,50509047.892
2019-03-25,2757.8104,2765.8419,2717.2935,2718.1807,52140915.0,66207961.992
2019-03-26,2737.3723,2739.2856,2693.9112,2706.1537,40073955.0,52612740.798
2019-03-27,2721.1376,2751.7216,2714.095,2741.5907,33542018.0,51900870.707
2019-03-28,2728.0449,2742.701,2709.3874,2733.9743,31840303.0,46631870.202
2019-03-29,2747.5418,2845.2279,2746.1134,2838.5054,59676669.0,90550418.034
2019-04-01,2860.144,2906.1505,2860.144,2892.619,77912146.0,104513800.658
2019-04-02,2900.6314,2903.8689,2878.3948,2888.5304,61187461.0,77540948.359
2019-04-03,2869.846,2923.9217,2865.296,2920.0013,64723749.0,81562043.792
2019-04-04,2927.1005,2959.5898,2921.2037,2951.9848,73035716.0,89999489.242
2019-04-08,2978.5034,3007.8296,2938.6461,2962.2749,74531909.0,97533308.615
2019-04-09,2968.0779,2980.1228,2948.3057,2967.5136,50802142.0,72309797.814
2019-04-10,2957.2707,2996.4068,2941.3479,2979.0985,48692438.0,75072995.998
2019-04-11,2982.3927,3000.0952,2920.1938,2928.4268,42811144.0,64001721.559
2019-04-12,2920.5531,2933.4463,2903.2682,2920.5151,32521633.0,47318241.1
2019-04-15,2973.0222,2999.3259,2924.6018,2924.9257,58437528.0,77706068.531
2019-04-16,2914.9897,3023.0253,2909.665,3023.0253,70764163.0,85299156.286
2019-04-17,3017.3947,3035.405,2996.7607,3017.4162,49960675.0,64317209.035
2019-04-18,3014.9149,3019.5447,2993.274,3004.9245,39670684.0,50009082.026
2019-04-19,3013.6723,3043.9263,2989.548,3042.4321,39943672.0,56035404.843
2019-04-22,3047.4255,3048.8236,2962.3585,2970.488,56759697.0,74865754.208
